!Grade	Length	Value	Min.mult.	Max.mult.	BoxAlignm.	Box	BoxType	Remarks	Nominal	Actual	Code	Size	x	Size1	Length	Angle	Mat	Grade	No.
38x89	190	3	1	1	0	0	0	_	1	0	D	89	x	38	178	0			1
38x89	190	3	1	1	0	0	0	_	1	0	D	89	x	38	178	0			1
38x89	190	3	1	1	0	0	0	_	1	0	D	89	x	38	168	0			1
38x89	149	2	1	1	0	0	0	mS103S	1	0	S	89	x	38	149	0			1
38x89	137	2	1	1	0	0	0	mS103S	1	0	S	89	x	38	137	0			1
38x89	129	2	1	1	0	0	0	I106H3	1	0	TP	89	x	38	129	0			1
38x89	109	1	1	1	0	0	0	_	1	0	D	89	x	38	109	0			1
38x89	99	1	1	1	0	0	0	_	2	0	D	89	x	38	99	0			2
38x89	99	1	1	1	0	0	0	_	2	0	D	89	x	38	99	0			2
38x89	85	1	1	1	0	0	0	_	1	0	D	89	x	38	85	0			1
38x89	78	1	1	1	0	0	0	_	1	0	D	89	x	38	78	0			1
38x89	72	1	1	1	0	0	0	_	1	0	D	89	x	38	72	0			1
